[1.1445987234275252, 0.23070208443030293]
[1.1490821166030274, 0.22816397766130575]
[1.1518762422258502, 0.22872791418796062]
[1.1707179155509995, 0.18680060890394784]
[1.1826179857681305, 0.06230942189050701]
[1.175093916504262, -0.02759571566274442]
[1.1574534119969049, -0.2183821077234482]
[1.1512632109490402, -0.32659312771962157]
[1.1491464109585476, -0.4649021710392504]
[1.1498216577418434, -0.512452647056031]
[1.157755964187968, -0.5705244592197524]
[1.1610622306075484, -0.5839679611903658]
[1.1616223984772858, -0.6017105159098642]
[1.1623554465135943, -0.59415439979802]
[1.1632220229206318, -0.6026092875319117]
[1.170003832303593, -0.6027804611305871]
[1.2029029483369056, -0.6283632293022268]
[1.255540366616317, -0.6657940032482282]
[1.2931972737548336, -0.6782236105605177]
[1.3416260433400817, -0.691638017920006]
[1.3744502084643493, -0.6927269136180824]
[1.3961284073045035, -0.6903994066131443]
[1.4068416342183385, -0.68807903663709]
[1.4080281907444272, -0.6873525462779393]
[1.4088388514154455, -0.6856747021992595]
[1.4056376862398798, -0.6866679030977397]
[1.4068356120947683, -0.683268956092011]
[1.42354843603542, -0.5936941999047999]
[1.4260756470600953, -0.4778699413516075]
[1.4107591633135035, -0.2980091412251435]
[1.401991464016598, -0.1714943698519556]
[1.4009741181878386, -0.014170236112715071]
[1.4108607236799584, 0.04483654288518878]
[1.4338092497258488, 0.09958235161527206]
[1.445824606087153, 0.13562806666121868]
[1.445824606087153, 0.13562806666121868]
[1.4605803804887036, 0.1764474995295972]
[1.4681268968528958, 0.18652255434864698]
[1.4731317023819042, 0.18871449991214648]
[1.4732944226747873, 0.19772641284678483]
[1.4764620234708739, 0.19965797029174132]
[1.5170190959273928, 0.22558156020462597]
[1.570617944560676, 0.24599051060080127]
[1.6221266442031201, 0.2538234769334678]
[1.6580705550298105, 0.2562495199527011]
[1.6901345251642954, 0.25470508798980607]
[1.7273967727038595, 0.24676225341959254]
[1.745886594239806, 0.2420597087395705]
[1.7535796149978058, 0.23999934940791348]
[1.7593444822049107, 0.23479218809486027]
[1.76589438070984, 0.2339389736742518]
[1.7742654481721485, 0.22787897896555337]
[1.7662169848083933, 0.21878614295822932]
[1.7535063119397802, 0.22021250517389832]
[1.7691039337101186, 0.14228808865049772]
[1.7700466720231083, 0.0383303964192547]
[1.7480205917719724, -0.1470294219830683]
[1.7426697482242042, -0.2671288839420784]
[1.7411807484318156, -0.3695793093711753]
[1.7468391881703764, -0.4998118264483323]
[1.7524233600331025, -0.5460507928737341]
[1.7548653744122233, -0.5747907892629313]
[1.7543175112034373, -0.6011629364787813]
[1.7559893632261747, -0.6029087178698073]
[1.7596540849934985, -0.6091814711744781]
[1.7569521904894811, -0.5975024663668995]
[1.7708998494264594, -0.6074477148137817]
[1.8074063851957285, -0.6257484106337718]
[1.8579418496348672, -0.636868423709642]
[1.921288258417334, -0.6528418426499678]
[1.956229252571277, -0.659506109331768]
[1.9873615962252096, -0.663013289473844]
[2.022008634488421, -0.6657462579925837]
[2.055253132629715, -0.6687471084678294]
[2.0588282621308456, -0.667197665311594]
[2.062977876536681, -0.6684181953604886]
[2.0647062022012705, -0.6700317296388779]
[2.063964402015561, -0.6621293182754293]
[2.065603311066426, -0.6610789930689873]
[2.066545543296321, -0.6511941318397207]
[2.089311725893153, -0.5473214111396206]
[2.082881268652679, -0.4110626319953123]
[2.069358962122313, -0.29088887446779416]
[2.0566819296717314, -0.17213852619923123]
[2.0560348619631705, -0.02362950606954304]
[2.0585954640038953, 0.06549123495623019]
[2.0591629068834845, 0.10660096073765547]
[2.0643073575801, 0.14508130431260313]
[2.0677104954947545, 0.1720430157486159]
[2.0703557291983214, 0.1814427286497642]
[2.0745799732689236, 0.16977906657547245]
[2.074523225114658, 0.17875267144241558]
[2.1021999043373034, 0.21125611203494668]
[2.144022233804683, 0.22756291998305592]
[2.1857283664905727, 0.23656580597042712]
[2.2166336882548703, 0.23367593924535057]
[2.2578771168712506, 0.23339188146948692]
[2.2817405893272853, 0.23874145356277804]
[2.3117424358046916, 0.24027369346191146]
[2.322543737827496, 0.24191651081083088]
[2.3305735660136806, 0.24225634205926838]
[2.3360135034851677, 0.23828828018127024]
[2.3442562746813174, 0.23355545051242652]
[2.3445373474832762, 0.2265385468180247]
[2.3440330841193977, 0.22664799244176842]
[2.371444832531579, 0.12887890936816354]
[2.3636138771158173, -0.01251172014618248]
[2.3476952140391236, -0.13442288781338693]
[2.3354398522321023, -0.2577344683214049]
[2.3336791515853053, -0.41670660942496385]
[2.339998305373188, -0.49987801966737727]
[2.3506037112348515, -0.5644419441631104]
[2.3549812589989316, -0.5837031075624249]
[2.3549812589989316, -0.5837031075624249]
[2.3603809001672182, -0.6033015444957339]
[2.36271589785161, -0.6038187217036705]
[2.3609660311006055, -0.592847413819458]
[2.359973254571976, -0.6028816033634193]

